natalia_09_7397_29.cpp,1,219,16,180,0,39,4.62,0.00,4.62,0.82,180,0,39
Willem_14_12813_90.cpp,1,45,21,40,5,0,8.00,8.00,0.00,0.89,40,5,0
natan.lima_08_4136_50.cpp,1,105,21,101,0,4,25.25,0.00,25.25,0.96,101,0,4
alex.pizarro.j_13_4261_23.cpp,1,75,21,65,4,6,6.50,16.25,10.83,0.87,65,4,6
phidnight_09_16685_99.cpp,1,63,20,59,2,2,14.75,29.50,29.50,0.94,59,2,2
fanthos_12_12775_60.cpp,1,50,21,43,3,4,6.14,14.33,10.75,0.86,43,3,4
pro00155_11_7461_28.c,1,35,15,34,0,1,34.00,0.00,34.00,0.97,34,0,1
untilfinal_12_6169_28.cpp,1,69,17,64,0,5,12.80,0.00,12.80,0.93,64,0,5
Robodave_10_14625_76.cpp,1,75,13,35,36,4,0.88,0.97,8.75,0.47,35,36,4
NALP_09_3914_56.cpp,1,99,15,80,0,19,4.21,0.00,4.21,0.81,80,0,19
Xeufe_11_14269_20.cpp,1,136,17,111,13,12,4.44,8.54,9.25,0.82,111,13,12
namonakiacc_13_9207_80.cpp,1,69,17,64,0,5,12.80,0.00,12.80,0.93,64,0,5
rishabhsanklecha_12_15475_60.cpp,1,142,22,108,7,27,3.18,15.43,4.00,0.76,108,7,27
NAFIS_11_8116_55.c,1,63,17,63,0,0,0.00,0.00,0.00,1.00,63,0,0
DDello_11_7331_55.cpp,1,33,24,31,0,2,15.50,0.00,15.50,0.94,31,0,2
ma5termind_09_15925_66.cpp,1,169,24,154,0,15,10.27,0.00,10.27,0.91,154,0,15
RegalSkeppet_14_13646_40.c,1,41,13,40,0,1,40.00,0.00,40.00,0.98,40,0,1
daizhenyang_09_7438_99.cpp,1,48,13,47,1,0,47.00,47.00,0.00,0.98,47,1,0
meret_09_9895_31.cpp,1,269,24,241,1,27,8.61,241.00,8.93,0.90,241,1,27
kolmant_13_14684_85.cpp,1,139,17,131,0,8,16.38,0.00,16.38,0.94,131,0,8
haskell_09_18623_99.cpp,1,46,13,40,0,6,6.67,0.00,6.67,0.87,40,0,6
bearfoot_13_373_40.c,1,168,14,148,6,14,7.40,24.67,10.57,0.88,148,6,14
Ygge_08_6878_50.cpp,1,82,19,74,0,8,9.25,0.00,9.25,0.90,74,0,8
cycycy_10_17425_43.cpp,1,61,12,55,1,5,9.17,55.00,11.00,0.90,55,1,5
kinhoon_11_1834_28.cpp,1,238,22,180,28,30,3.10,6.43,6.00,0.76,180,28,30
Ghost2010_10_7063_53.cpp,1,58,13,51,3,4,7.29,17.00,12.75,0.88,51,3,4
huhupao_10_7390_76.cpp,1,64,25,54,6,5,4.91,9.00,10.80,0.84,54,6,5
galymzhan_10_8648_43.cpp,1,34,16,32,0,2,16.00,0.00,16.00,0.94,32,0,2
gabber12_14_2660_55.cpp,1,68,20,58,4,6,5.80,14.50,9.67,0.85,58,4,6
Stratocoder_10_559_26.cpp,1,42,17,40,0,2,20.00,0.00,20.00,0.95,40,0,2
Progbeat_13_1414_19.cpp,1,96,24,84,4,8,7.00,21.00,10.50,0.88,84,4,8
Yuseok_13_5583_115.cpp,1,108,20,70,10,28,1.84,7.00,2.50,0.65,70,10,28
mhoefs_09_324_56.cpp,1,83,18,55,17,13,1.83,3.24,4.23,0.66,55,17,13
EthanWei_13_2355_46.cpp,1,41,20,36,0,5,7.20,0.00,7.20,0.88,36,0,5
cyril.zhang_13_2767_46.cpp,1,42,14,31,0,11,2.82,0.00,2.82,0.74,31,0,11
midlink545_11_14589_45.cpp,1,174,18,82,73,19,0.89,1.12,4.32,0.47,82,73,19
shellyback_12_8247_35.c,1,54,12,42,0,12,3.50,0.00,3.50,0.78,42,0,12
dinosaurs_13_1686_115.cpp,1,71,29,63,0,8,7.88,0.00,7.88,0.89,63,0,8
roxkiller_12_16824_48.cc,1,56,15,47,0,9,5.22,0.00,5.22,0.84,47,0,9
Equinox_11_8088_55.cpp,1,74,17,65,1,8,7.22,65.00,8.12,0.88,65,1,8
eprevost_13_4110_60.cpp,1,135,24,102,12,21,3.09,8.50,4.86,0.76,102,12,21
Nagasaki45_10_16065_16.cpp,1,40,19,33,0,7,4.71,0.00,4.71,0.82,33,0,7
natan.lima_11_5953_25.cpp,1,29,14,29,0,0,0.00,0.00,0.00,1.00,29,0,0
Wataru_09_10698_99.cpp,1,105,13,82,3,20,3.57,27.33,4.10,0.78,82,3,20
cyril.zhang_12_2460_63.cpp,1,67,11,51,0,16,3.19,0.00,3.19,0.76,51,0,16
buptshirley_09_17941_8.cpp,1,62,14,51,0,11,4.64,0.00,4.64,0.82,51,0,11
xci_10_11511_99.cpp,1,51,18,44,1,6,6.29,44.00,7.33,0.86,44,1,6
eng.mmarouf_12_18261_53.cpp,1,128,18,124,1,3,31.00,124.00,41.33,0.97,124,1,3
harrypotter7_12_13661_60.cpp,1,15,17,14,0,1,14.00,0.00,14.00,0.93,14,0,1
pratyush1299_11_3137_55.cpp,1,124,21,76,12,36,1.58,6.33,2.11,0.61,76,12,36
fudq_13_12736_39.cpp,1,69,27,64,0,5,12.80,0.00,12.80,0.93,64,0,5
biegaoxiao_13_3700_47.cpp,1,86,24,68,9,10,3.58,7.56,6.80,0.79,68,9,10
rafalm_10_9525_66.cpp,1,17,12,13,0,4,3.25,0.00,3.25,0.76,13,0,4
prolific_09_17750_65.cpp,1,59,19,49,4,6,4.90,12.25,8.17,0.83,49,4,6
ahhhhhhhhhh_12_8626_60.cpp,1,42,12,32,0,10,3.20,0.00,3.20,0.76,32,0,10
sandro_08_1764_50.cpp,1,74,16,70,0,4,17.50,0.00,17.50,0.95,70,0,4
Wataru_10_11153_99.cpp,1,102,13,63,20,19,1.62,3.15,3.32,0.62,63,20,19
jkhan_12_18458_62.cpp,1,81,22,68,0,13,5.23,0.00,5.23,0.84,68,0,13
hillboy_08_4648_20.cpp,1,82,18,66,1,15,4.12,66.00,4.40,0.80,66,1,15
lcqbest_09_6044_99.cpp,1,45,18,42,2,1,14.00,21.00,42.00,0.93,42,2,1
sunnn_12_11366_60.cpp,1,92,25,79,1,12,6.08,79.00,6.58,0.86,79,1,12
wjsw_14_14108_31.cpp,1,141,17,72,66,3,1.04,1.09,24.00,0.51,72,66,3
Wideas_12_10132_53.cpp,1,63,20,58,0,5,11.60,0.00,11.60,0.92,58,0,5
Hachimori_11_7153_39.cc,1,64,15,50,0,14,3.57,0.00,3.57,0.78,50,0,14
flyingbear_11_13497_55.c,1,216,15,170,5,41,3.70,34.00,4.15,0.79,170,5,41
binhobinho_11_14912_70.cpp,1,115,23,92,3,20,4.00,30.67,4.60,0.80,92,3,20
gabirobs_12_13896_60.cpp,1,46,23,40,2,4,6.67,20.00,10.00,0.87,40,2,4
BenC_09_14068_53.c,1,81,15,69,0,12,5.75,0.00,5.75,0.85,69,0,12
MinhHung_12_11329_25.c,1,28,19,27,0,1,27.00,0.00,27.00,0.96,27,0,1
ticket_12_18349_60.cpp,1,51,9,46,1,4,9.20,46.00,11.50,0.90,46,1,4
Dragoon_09_11255_49.cpp,1,119,15,91,6,22,3.25,15.17,4.14,0.76,91,6,22
galymzhan_09_8266_50.cpp,1,93,21,69,20,4,2.88,3.45,17.25,0.74,69,20,4
lalanana_11_6967_70.cpp,1,95,15,84,1,10,7.64,84.00,8.40,0.88,84,1,10
kouri128_12_5958_60.cpp,1,67,17,58,0,9,6.44,0.00,6.44,0.87,58,0,9
