#filename;number_of_modules;lines_of_code;lines_of_code_per_module;McCabes_cyclomatic_complexity;McCabes_cyclomatic_complexity_per_module;lines_of_comment;lines_of_comment_per_module;lines_of_code_per_line_of_comment;McCabes_cyclomatic_complexity_per_line_of_comment;IF4;IF4_per_module;IF4_visible;IF4_visible_per_module;IF4_concrete;IF4_concrete;rejected_lines_of_code
csvs/08_11687_50.csv;7;192;27.429;21;3.000;74;10.571;2.595;0.284;0;0.000;0;0.000;0;0.000;1
csvs/08_11690_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_11691_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_11694_50.csv;6;21;3.500;0;0.000;20;3.333;1.050;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11701_50.csv;2;24;12.000;3;1.500;28;14.000;0.857;------;0;0.000;0;0.000;0;0.000;2
csvs/08_11702_50.csv;3;16;5.333;0;0.000;3;1.000;------;------;0;0.000;0;0.000;0;0.000;5
csvs/08_11703_50.csv;0;102;******;0;******;40;******;2.550;------;0;********;0;********;0;********;102
csvs/08_11705_50.csv;1;12;12.000;0;0.000;6;6.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_11707_50.csv;9;27;3.000;0;0.000;18;2.000;1.500;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11708_50.csv;3;10;3.333;0;0.000;3;1.000;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11712_50.csv;1;11;11.000;0;0.000;6;6.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_11714_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_11715_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_11716_50.csv;2;8;4.000;0;0.000;15;7.500;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11719_50.csv;10;309;30.900;34;3.400;78;7.800;3.962;0.436;0;0.000;0;0.000;0;0.000;1
csvs/08_11725_50.csv;2;24;12.000;3;1.500;28;14.000;0.857;------;0;0.000;0;0.000;0;0.000;2
csvs/08_11726_50.csv;3;16;5.333;0;0.000;3;1.000;------;------;0;0.000;0;0.000;0;0.000;5
csvs/08_11727_50.csv;0;102;******;0;******;40;******;2.550;------;0;********;0;********;0;********;102
csvs/08_11730_50.csv;1;12;12.000;0;0.000;6;6.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_11732_50.csv;9;27;3.000;0;0.000;18;2.000;1.500;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11733_50.csv;3;10;3.333;0;0.000;3;1.000;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11737_50.csv;1;11;11.000;0;0.000;6;6.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_11739_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
